===== Table S12A base 10yr
Table S12.A. Regression coefficients* for 10 year cardiovascular risks models - PREVENT Base model |  |  |  |  |  |  |  |  |  |  | 
 | Total CVD |  | ASCVD |  | Heart Failure |  | Coronary Heart Disease |  | Stroke |  | 
Beta coefficients | Women | Men | Women | Men | Women | Men | Women | Men | Women | Men | 
Age per 10yr * diabetes | -0.2702118 | -0.2116113 | -0.2279648 | -0.165745 | -0.3425359 | -0.2730055 | -0.2216709 | -0.1773555 | -0.2305906 | -0.1519443
Age per 10yr * current smoking | -0.1373216 | -0.1277905 | -0.120405 | -0.1244714 | -0.181405 | -0.1573691 | -0.1092446 | -0.1355626 | -0.1298535 | -0.1002027
Age per 10yr * BMI 30+ per 5 kg/m2 |  |  |  |  | 0.0031285 | -0.0174998 |  |  |  | 
Age per 10yr * eGFR <60, per -15 ml | -0.1255864 | -0.0955922 | -0.1157635 | -0.0624552 | -0.1356989 | -0.1128676 | -0.0992136 | -0.007771 | -0.1172069 | -0.1214285
SDI decile categories 4-6 vs. 1-3 | 0.1067741 | 0.0256704 | 0.1107632 | 0.015675 | 0.0847634 | 0.057746 | 0.1325148 | 0.0213662 | 0.0734163 | 0.0329762
SDI decile categories 7-10 vs. 1-3 | 0.1853138 | 0.1887637 | 0.1840367 | 0.1864231 | 0.18397 | 0.2446441 | 0.1837377 | 0.1468633 | 0.1614884 | 0.2360916
Missing SDI | 0.1567115 | 0.089241 | 0.1308962 | 0.0845697 | 0.1485802 | 0.1076782 | 0.1285162 | 0.0369637 | 0.1096146 | 0.1347158
ln-ACR, mg/g, per 1 ln unit | 0.1028065 | 0.0894596 | 0.0810739 | 0.0560171 | 0.1273306 | 0.1233486 | 0.0827556 | 0.0548478 | 0.0726809 | 0.0599546
Missing ACR/PCR/Dipstick | -0.0006181 | 0.0710124 | -0.0147785 | 0.0252244 | 0.0167008 | 0.1274796 | 0.0116095 | 0.0362993 | -0.0463426 | 0.0124922
HbA1c in DM, per 1% | 0.0925285 | 0.0676202 | 0.0794709 | 0.0501422 | 0.1378342 | 0.0985062 | 0.1200107 | 0.0656365 | 0.0451134 | 0.0353323
HbA1c no DM, per 1% | 0.0975598 | 0.063409 | 0.1002615 | 0.0722905 | 0.1138832 | 0.0804844 | 0.1162423 | 0.0621508 | 0.0924872 | 0.0804095
Missing HbA1c | 0.0101713 | 0.0038783 | 0.017301 | 0.0114945 | 0.0138979 | 0.0022806 | 0.0378343 | 0.0457156 | -0.0068354 | -0.0410015
Constant | -1.748475 | -1.504558 | -2.314066 | -1.985368 | -2.642208 | -2.425439 | -3.099189 | -2.643083 | -2.858449 | -2.713952
R-square | 0.9898 | 0.9711 | 0.9902 | 0.9684 | 0.9921 | 0.9834 | 0.9917 | 0.9729 | 0.9896 | 0.97
Centered at age 55, non-HDLC 3.5, HDLC 1.3, SBP 130, BMI 25, eGFR 90, no DM,  non-smoker, no medication used, HbA1c 5.3 |  |  |  |  |  |  |  |  |  | 
*Dependent variable is the log-odds of the risk (log of risk /(1-risk)). Appendix 4 provides the details of the computation, including the algebra for creating piece-wise linear splines (SBP, BMI, and eGFR). Beta coefficients in the table can be interpreted as log odds ratios.   |  |  |  |  |  |  |  |  |  | 
Linear regression of base PREVENT model (Y) on this enhanced model (X) when the enhanced risk prediciton variables are set to missing  |  |  |  |  |  |  |  |  |  | 
beta | 1.0969 | 1.0717 | 1.0921 | 1.0897 | 1.0567 | 1.0662 | 1.0654 | 1.12 | 1.0795 | 1.0744
R-square | 0.6697 | 0.9927 | 0.9931 | 0.9923 | 0.4049 | 0.9923 | 0.9906 | 0.9907 | 0.9913 | 0.9905
